1,PD01,Contact NG,,
2,PD02,START DPC NG,A0G-B01-45D,A0G-B01-----45D---------------------------
3,PD03,No Response from DPC NG,A0G-B01-45E,A0G-B01-----45E---------------------------
4,PD04,DPC WORK STOP NG,A0G-B01-45F,A0G-B01-----45F---------------------------
5,PD05,RSTDONE NG,A0G-B01-45G,A0G-B01-----45G---------------------------
6,PD06,Calibraion Fail NG,A06-B01-GN9,A0G-B01-----GN9---------------------------
8,PD08,Guess TRN Fail NG,A0G-B01-45H,A0G-B01-----45H---------------------------
9,PD09,Pattern Lighting Fail NG,A0G-B01-45J,A0G-B01-----45J---------------------------
10,PD10,Camera Operation Disorders,A0G-B01-45K,A0G-B01-----45K---------------------------
11,PD11,De-Mura Fail Defect Detected,A0G-B01-45L,A0G-B01-----45L---------------------------
12,PD12,Pattern On Fail NG,A0G-B01-45M,A0G-B01-----45M---------------------------
13,PD13,CHKPOS ERROR,A0G-B01-45N,A0G-B01-----45N---------------------------
14,PD14,NO PANELID,A0G-B01-45P,A0G-B01-----45P---------------------------
15,PD15,CONFIG FILE Unloaded,A0G-B01-45Q,A0G-B01-----45Q---------------------------
16,PD16,White Uniformity NG,A0G-B01-2PQ,A0G-B01-----2PQ---------------------------
17,PD17,Communication NG,A06-B01-2LA,A06-B01-----2LA---------------------------
18,PD18,Flash Memory write NG,A06-B01-Z8Q,A06-B01-----Z8Q---------------------------
19,PD19,EEPROM WRITE NG,A06-B01-401,A06-B01-----401---------------------------
20,PD20,POCB NG,A06-B01-47C,A06-B01-----47C---------------------------
21,PD21,MTF NG,A06-B01-ZJ9,A06-B01-----ZJ9---------------------------
22,PD22,GB Final NG,A06-B01-ZJ1,A06-B01-----ZJ1---------------------------
23,PD23,Flash memory Read NG,A06-B01-ZJA,A06-B01-----ZJA---------------------------
24,PD24,Fail to find result hex file,A06-B01-ZJB,A06-B01-----ZJB---------------------------
25,PD25,Model Info Miss Matching,,
